Shape_Leng,Shape_Area,ADM1_EN,ADM1_TH,ADM1_PCODE,FIPS-Provincial code,ADM1_REF,ADM1ALT1EN,ADM1ALT2EN,ADM1ALT1TH,ADM1ALT2TH,ADM0_EN,ADM0_TH,ADM0_PCODE,date,validOn,validTo
8.20796754,0.4092860356,Krabi,กระบี่,TH81,TH63,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
2.417227318,0.1313387279,Bangkok,กรุงเทพมหานคร,TH10,TH40,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
8.231963242,1.631486387,Kanchanaburi,กาญจนบุรี,TH71,TH50,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
6.054796816,0.583378084,Kalasin,กาฬสินธุ์,TH46,TH23,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
5.190934771,0.7237269391,Kamphaeng Phet,กำแพงเพชร,TH62,TH11,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
8.994163824,0.8978067951,Khon Kaen,ขอนแก่น,TH40,TH22,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
5.130272954,0.5333164355,Chanthaburi,จันทบุรี,TH22,TH48,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
4.941452771,0.4314840098,Chachoengsao,ฉะเชิงเทรา,TH24,TH44,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
6.091785636,0.3756300849,Chon Buri,ชลบุรี,TH20,TH46,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
2.896315795,0.2090782776,Chai Nat,ชัยนาท,TH18,TH32,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
7.055512857,1.065319303,Chaiyaphum,ชัยภูมิ,TH36,TH26,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
6.751065262,0.4970774514,Chumphon,ชุมพร,TH86,TH58,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
6.991486706,0.9990211201,Chiang Rai,เชียงราย,TH57,TH03,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
13.34634537,1.900546437,Chiang Mai,เชียงใหม่,TH50,TH02,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
5.192570379,0.38587881,Trang,ตรัง,TH92,TH65,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
7.429444372,0.238462528,Trat,ตราด,TH23,TH49,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
13.77658534,1.464232492,Tak,ตาก,TH63,TH08,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
2.542654372,0.1789088895,Nakhon Nayok,นครนายก,TH26,TH43,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
2.46303036,0.1789141998,Nakhon Pathom,นครปฐม,TH73,TH53,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
5.960319365,0.474948827,Nakhon Phanom,นครพนม,TH48,TH73,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
9.696844386,1.739920644,Nakhon Ratchasima,นครราชสีมา,TH30,TH27,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
6.914964679,0.8128858113,Nakhon Si Thammarat,นครศรีธรรมราช,TH80,TH64,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
7.20033662,0.8019730546,Nakhon Sawan,นครสวรรค์,TH60,TH16,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
1.251111177,0.05323765972,Nonthaburi,นนทบุรี,TH12,TH38,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
3.45684029,0.3666476732,Narathiwat,นราธิวาส,TH96,TH31,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
6.752652163,1.045074564,Nan,น่าน,TH55,TH04,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
4.41499765,0.3407840281,Bueng Kan,บึงกาฬ,TH38,TH81,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
8.701859615,0.8445370415,Buri Ram,บุรีรัมย์,TH31,TH28,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
1.884945029,0.1269834494,Pathum Thani,ปทุมธานี,TH13,TH39,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
6.416131079,0.5351791093,Prachuap Khiri Khan,ประจวบคีรีขันธ์,TH77,TH57,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
4.705205286,0.4223316476,Prachin Buri,ปราจีนบุรี,TH25,TH74,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
2.820830473,0.1608247772,Pattani,ปัตตานี,TH94,TH69,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
3.04171648,0.2139379726,Phra Nakhon Si Ayutthaya,พระนครศรีอยุธยา,TH14,TH36,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
4.605113571,0.5323240938,Phayao,พะเยา,TH56,TH41,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
9.15846878,0.3364922991,Phangnga,พังงา,TH82,TH61,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
3.257829473,0.3162682403,Phatthalung,พัทลุง,TH93,TH66,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
4.378203219,0.3665881233,Phichit,พิจิตร,TH66,TH13,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
7.344659762,0.8928812081,Phitsanulok,พิษณุโลก,TH65,TH12,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
4.163386637,0.515071842,Phetchaburi,เพชรบุรี,TH76,TH56,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
7.778255297,1.047453676,Phetchabun,เพชรบูรณ์,TH67,TH14,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
5.213770068,0.5541307573,Phrae,แพร่,TH54,TH07,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
2.920195824,0.04494432049,Phuket,ภูเก็ต,TH83,TH62,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
5.208451563,0.4734444758,Maha Sarakham,มหาสารคาม,TH44,TH24,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
3.869429158,0.3480788984,Mukdahan,มุกดาหาร,TH49,TH78,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
9.92350652,1.094682487,Mae Hong Son,แม่ฮ่องสอน,TH58,TH01,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
5.355740551,0.3457585195,Yasothon,ยโสธร,TH35,TH72,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
4.839230103,0.3654477708,Yala,ยะลา,TH95,TH70,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
6.840451985,0.6599046624,Roi Et,ร้อยเอ็ด,TH45,TH25,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
6.717266835,0.2715637113,Ranong,ระนอง,TH85,TH59,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
3.895228369,0.306627006,Rayong,ระยอง,TH21,TH47,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
4.175418855,0.4343921633,Ratchaburi,ราชบุรี,TH70,TH52,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
5.693342154,0.5457883782,Lop Buri,ลพบุรี,TH16,TH34,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
8.052474645,1.06809251,Lampang,ลำปาง,TH52,TH06,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
5.001303745,0.3827070955,Lamphun,ลำพูน,TH51,TH05,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
8.105760735,0.8931913014,Loei,เลย,TH42,TH18,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
6.354892884,0.746140182,Si Sa Ket,ศรีสะเกษ,TH33,TH30,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
7.835410197,0.8100901681,Sakon Nakhon,สกลนคร,TH47,TH20,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
6.212992645,0.6334364891,Songkhla,สงขลา,TH90,TH68,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
6.088086424,0.2357387052,Satun,สตูล,TH91,TH67,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
1.69509969,0.07926198888,Samut Prakan,สมุทรปราการ,TH11,TH42,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
1.024201644,0.0345822295,Samut Songkhram,สมุทรสงคราม,TH75,TH54,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
1.566368911,0.07155983237,Samut Sakhon,สมุทรสาคร,TH74,TH55,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
5.248833848,0.5674725801,Sa Kaeo,สระแก้ว,TH27,TH80,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
4.76644577,0.2920871119,Saraburi,สระบุรี,TH19,TH37,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
1.778326262,0.06872654984,Sing Buri,สิงห์บุรี,TH17,TH33,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
5.46285252,0.5676403037,Sukhothai,สุโขทัย,TH64,TH09,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
5.481300123,0.4557913807,Suphan Buri,สุพรรณบุรี,TH72,TH51,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
10.30660717,1.076143835,Surat Thani,สุราษฎร์ธานี,TH84,TH60,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
7.793002722,0.7404197453,Surin,สุรินทร์,TH32,TH29,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
6.288768871,0.2789793634,Nong Khai,หนองคาย,TH43,TH17,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
4.478819173,0.3451952993,Nong Bua Lam Phu,หนองบัวลำภู,TH39,TH79,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
1.739908044,0.07920961397,Ang Thong,อ่างทอง,TH15,TH35,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
3.927243648,0.2753126695,Amnat Charoen,อำนาจเจริญ,TH37,TH77,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
10.0217456,0.9401323377,Udon Thani,อุดรธานี,TH41,TH76,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
5.801730093,0.6746753022,Uttaradit,อุตรดิตถ์,TH53,TH10,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
5.086717739,0.5587436012,Uthai Thani,อุทัยธานี,TH61,TH15,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
8.544293571,1.302175478,Ubon Ratchathani,อุบลราชธานี,TH34,TH75,,,,,,Thailand,ประเทศไทย,TH,2019/02/18,2019/02/21,
