date, pm25, pm10, o3, no2, so2, co
2025/2/1, 281, 146, 25, 23, 4, 6
2025/2/2, 239, 117, 38, 25, 4, 8
2025/2/3, 187, 150, 32, 27, 5, 9
2025/2/4, 214, , , , , 
2025/1/1, 255, 151, 13, 20, 4, 10
2025/1/2, 245, 168, , 15, 5, 12
2025/1/3, 273, 241, 13, 34, 2, 4
2025/1/4, 362, 142, 10, 18, 2, 6
2025/1/5, 240, 150, 13, 22, 3, 6
2025/1/6, 255, 138, 15, 15, 4, 7
2025/1/7, 224, 133, 30, 25, 5, 10
2025/1/8, 212, 239, 29, 38, 6, 16
2025/1/9, 319, 236, 14, 24, 4, 12
2025/1/10, 321, 128, 18, 23, 4, 6
2025/1/11, 229, 117, 15, 25, 4, 8
2025/1/12, 214, 109, 16, 21, 4, 6
2025/1/13, 196, 132, 33, 25, 3, 12
2025/1/14, 215, 193, 9, 24, 3, 8
2025/1/15, 314, 97, 33, 17, 4, 4
2025/1/16, 197, 113, 22, 22, 2, 5
2025/1/17, 196, 133, 27, 23, 1, 9
2025/1/18, 217, 216, 38, 31, 3, 13
2025/1/19, 294, 140, 1, 28, 2, 8
2025/1/20, 226, 128, 24, 28, 4, 5
2025/1/21, 201, 117, 34, 30, 2, 9
2025/1/22, 185, 105, 33, 30, , 6
2025/1/23, 180, 94, 37, 27, , 5
2025/1/24, 162, 118, 4, 41, , 9
2025/1/25, 183, , , , , 
2025/1/27, 171, 124, 57, 39, 1, 10
2025/1/28, 185, 206, 57, 36, 2, 14
2025/1/29, 271, 182, 38, 31, 3, 10
2025/1/30, 267, 170, 58, 31, 3, 11
2025/1/31, 261, 191, 41, 35, 4, 11
2024/10/1, 155, 104, 27, 17, 2, 7
2024/10/2, 156, 101, 36, 19, 3, 10
2024/10/3, 131, 104, 26, 15, 2, 13
2024/10/4, 136, 93, 18, 14, 3, 9
2024/10/5, 109, 122, 32, 15, 2, 5
2024/10/6, 130, 97, 32, 16, 3, 5
2024/10/7, 133, 115, 50, 17, 3, 6
2024/10/8, 156, 102, 45, 19, 3, 4
2024/10/9, 150, 93, 36, 17, 3, 4
2024/10/10, 129, 96, 45, 19, 4, 5
2024/10/11, 145, 122, 50, 20, 5, 13
2024/10/12, 148, 148, 80, 17, 6, 8
2024/10/13, 185, 102, 49, 28, 6, 15
2024/10/14, 125, 118, 48, 27, 5, 8
2024/10/15, 159, 145, 60, 37, 8, 18
2024/10/16, 163, 174, 82, 34, 7, 18
2024/10/17, 193, 169, 61, 26, 7, 19
2024/10/18, 184, 173, 48, 30, 7, 15
2024/10/19, 189, 156, 58, 29, 6, 11
2024/10/20, 192, 167, 54, 28, 8, 8
2024/10/21, 213, 177, 58, 30, 9, 13
2024/10/22, 222, 204, 42, 28, 9, 5
2024/10/23, 265, 146, 46, 24, 9, 6
2024/10/24, 210, 138, 38, 26, 6, 6
2024/10/25, 196, 177, 62, 33, 7, 12
2024/10/26, 226, 174, 42, 32, 7, 14
2024/10/27, 250, 171, 33, 31, 6, 11
2024/10/28, 221, 157, 29, 35, 5, 12
2024/10/29, 199, 174, 63, 40, 7, 11
2024/10/30, 204, 189, 41, 29, 6, 8
2024/10/31, 239, 298, 40, 26, 18, 11
2024/11/1, 281, 162, 50, 45, 9, 14
2024/11/2, 240, 181, 56, 45, 10, 15
2024/11/3, 282, 215, 54, 46, 9, 15
2024/11/4, 293, 195, 43, 41, 5, 21
2024/11/5, 255, 180, 42, 45, 4, 18
2024/11/6, 236, 235, 33, 37, 7, 16
2024/11/7, 302, 219, 28, 19, 6, 12
2024/11/8, 288, 178, 21, 12, 6, 9
2024/11/9, 257, 174, 36, 8, 4, 8
2024/11/10, 252, 181, 43, 8, 6, 14
2024/11/11, 244, 162, 22, 6, 5, 12
2024/11/12, 229, 385, 25, 5, 5, 16
2024/11/13, 414, 353, 9, 4, 6, 12
2024/11/14, 403, , , , , 
2024/11/16, 329, 440, 14, 1, 5, 12
2024/11/17, 456, 686, 10, , 4, 13
2024/11/18, 617, 324, 8, , 3, 10
2024/11/19, 421, 250, 8, , 4, 13
2024/11/20, 258, 172, 3, 16, 5, 14
2024/11/21, 248, 276, 7, 42, 5, 20
2024/11/22, 329, 230, , 48, 4, 20
2024/11/23, 295, 147, , 38, 3, 15
2024/11/24, 209, 251, 7, 39, 3, 15
2024/11/25, 315, 149, 25, 36, 4, 14
2024/11/26, 219, 155, 2, 40, 4, 18
2024/11/27, 216, 188, 6, 37, 5, 20
2024/11/28, 237, 170, 36, 43, 5, 23
2024/11/29, 216, 188, 30, 40, 5, 18
2024/11/30, 258, 125, 29, 33, 4, 16
2024/12/1, 204, 146, 30, 33, 4, 15
2024/12/2, 204, 144, 26, 33, 5, 14
2024/12/3, 188, 95, 23, 26, 4, 12
2024/12/4, 144, 96, 26, 29, 4, 14
2024/12/5, 143, 104, 27, 30, 5, 14
2024/12/6, 159, 120, 31, 37, 4, 17
2024/12/7, 175, 146, 31, 33, 3, 21
2024/12/8, 208, 91, 24, 30, 3, 12
2024/12/9, 166, 105, 28, 29, 3, 14
2024/12/10, 168, 114, 35, 32, 3, 13
2024/12/11, 174, 166, 39, 36, 5, 10
2024/12/12, 214, 123, 36, 25, 4, 6
2024/12/13, 179, 117, 28, 37, 5, 13
2024/12/14, 176, 170, 42, 41, 5, 12
2024/12/15, 237, 250, 44, 52, 4, 10
2024/12/16, 321, 321, 47, 61, 4, 15
2024/12/17, 348, 362, 41, 41, 4, 15
2024/12/18, 401, 288, 40, 42, 4, 15
2024/12/19, 353, 306, 34, 43, 4, 12
2024/12/20, 365, 171, 41, 34, 4, 13
2024/12/21, 265, 213, 47, 41, 6, 14
2024/12/22, 321, 230, 12, 42, 4, 10
2024/12/23, 334, 139, 19, 37, 7, 8
2024/12/24, 227, 138, 24, 28, 4, 13
2024/12/25, 242, 164, 35, 33, 4, 15
2024/12/26, 266, 135, 8, 30, 2, 8
2024/12/27, 255, 73, 2, 25, 2, 8
2024/12/28, 169, 91, 11, 15, 2, 5
2024/12/29, 183, , , , , 
2024/7/1, 123, 70, 6, 6, , 7
2024/7/2, 119, 59, 2, 6, , 6
2024/7/3, 95, 38, 2, 6, , 6
2024/7/4, 74, 44, 1, 8, , 6
2024/7/5, 78, 33, 5, 4, 1, 5
2024/7/6, 70, 16, 5, 4, 1, 5
2024/7/7, 42, 30, 5, 4, 1, 5
2024/7/8, 67, 60, 2, 8, , 7
2024/7/9, 111, 85, 2, 7, , 8
2024/7/10, 142, 81, 24, 6, , 7
2024/7/11, 144, 64, 19, 5, , 5
2024/7/12, 101, 63, 24, 8, , 6
2024/7/13, 110, 69, 27, 8, , 6
2024/7/14, 118, 59, 5, 7, , 6
2024/7/15, 102, 64, 7, 6, , 5
2024/7/16, 119, 49, 4, 4, , 6
2024/7/17, 90, 51, 2, 12, , 8
2024/7/18, 99, 88, 5, 9, , 7
2024/7/19, 149, 63, 8, 5, , 6
2024/7/20, 119, 55, 2, 7, , 6
2024/7/21, 110, 61, 4, 8, , 7
2024/7/22, 112, 70, 4, 9, , 7
2024/7/23, 125, 62, 10, 10, , 8
2024/7/24, 114, 57, 8, 9, , 6
2024/7/25, 99, 66, 11, 11, , 9
2024/7/26, 109, 72, 4, 9, , 8
2024/7/27, 118, 54, 4, 6, , 6
